,currency_change,market_cap,name,price,supply,symbol,volume
427,-1.36,5997806.72636,PlayCoin [ERC20],0.0331940582022,180689167.014,PLY,4620763.23457
428,0.65,5971405.08645,doc.com Token,0.0106357064318,561448844.488,MTC,111598.307343
429,0.55,5961304.5969,OAX,0.238363993203,25009249.58,OAX,2448814.00344
430,-0.50,5951546.84062,EBCoin,0.00146757253957,4055368085.83,EBC,140589.225301
431,-0.18,5931937.37865,Measurable Da...,0.0113489921141,522684069.124,MDT,837468.969684
432,6.96,5881709.42508,DAPS Token,0.00011184757949,52586828002.0,DAPS,22129.5858492
433,2.58,5865228.06997,IPChain,0.0763128741144,76857648.7,IPC,237752.613034
434,-0.43,5861565.0743,Restart Energ...,0.012946582163,452750000.0,MWAT,16355.3724889
435,0.70,5814350.67521,Mercury,0.0581435067521,100000000.0,MER,98077.0116403
436,0.33,5810079.61953,EvenCoin,0.281829526298,20615581.6811,EVN,857375.278992
437,0.32,5798881.07067,Aurora DAO,0.031170428302,186037901.516,AURA,5505.13048643
438,-0.78,5715863.23131,STACS,0.0113995185972,501412685.332,STACS,25088.220637
439,-0.18,5693682.62058,Bit-Z Token,0.126793568417,44905137.474,BZ,10379814.8625
440,-0.33,5683419.32117,LGO Exchange,0.0428451985642,132650087.096,LGO,10385.6633111
441,0.08,5643844.10338,ChatCoin,0.00817947662103,690000640.0,CHAT,588615.086517
442,-3.27,5630539.99699,Aeon,0.355655147533,15831459.3112,AEON,7782.61858047
443,-0.22,5609592.7649,Polybius,1.41315050069,3969564.99833,PLBT,3676.70004102
444,-0.35,5592113.04793,Shift,0.429492857063,13020270.2,SHIFT,8950.31352358
445,0.63,5565256.41695,ATN,0.0660152999255,84302524.1608,ATN,93429.995513
446,1.35,5558156.67902,Beetle Coin,0.0307526029879,180737763.278,BEET,364024.764917
447,-9.97,5537327.29216,Vitae,0.378335419314,14636026.6829,VITAE,4980.67068575
448,-0.45,5465331.10662,Callisto Network,0.0037205300012,1468965740.06,CLO,19466.6830197
449,3.13,5419628.27162,SunContract,0.0441670488982,122707502.693,SNC,1016812.98924
450,0.49,5316367.52445,adToken,0.00713414858354,745200000.0,ADT,307274.784393
451,0.18,5266433.93117,BOX Token,0.052892772284,99568120.6289,BOX,1993944.85396
452,0.00,5247223.11019,BaaSid,0.00167109016248,3140000000.0,BAAS,88780.4278625
453,-0.15,5208786.4512,Airbloc,0.0206936382848,251709553.415,ABL,638848.158811
454,-6.25,5196449.47807,SnapCoin,0.0123773155997,419836549.873,SNPC,77945.1368809
455,0.57,5161521.96438,PotCoin,0.0232505489965,221995702.775,POT,3782.72056344
456,-0.14,5156191.11413,Polis,0.814632923783,6329465.65699,POLIS,14873.7540427
457,-2.00,5145978.20981,Cobinhood,0.0126572808095,406562695.99,COB,17461.8264705
458,0.03,5131210.61711,Kcash,0.0115178926449,445499083.496,KCASH,6669984.25739
459,-0.19,5122589.44309,Grid+,0.130556767757,39236491.0,GRID,1247.50187412
460,0.20,5107937.98305,EDRCoin,1.74259564776,2931223.88411,EDRC,104809.363278
461,-0.66,5094437.46627,Counterparty,1.94764836656,2615686.46258,XCP,5742.49192659
462,0.00,5074871.16862,PayPie,0.0615135899227,82500000.0,PPP,2110.50881497
463,-0.20,5064312.77566,SIX,0.0184979755379,273776596.0,SIX,44146.9110135
464,0.09,5063544.35433,Linda,0.000404967164429,12503592387.5,LINDA,30583.1411327
465,2.49,4917174.56176,Sentinel Prot...,0.0166594918798,295157535.25,UPP,770029.231386
466,0.01,4897934.05193,HempCoin,0.0200592867284,244172892.0,THC,5788.1676926
467,5.24,4867510.0414,SpaceChain,0.00943455739181,515923518.111,SPC,244682.869693
468,0.04,4799273.33365,0Chain,0.119634397107,40116166.0,ZCN,67924.2269388
469,0.00,4788400.53042,I/O Coin,0.275663371763,17370463.4743,IOC,4649.54150321
470,-0.46,4780983.13706,DECENT,0.0931854918246,51306089.0,DCT,367828.294392
471,-0.05,4763905.09834,Wings,0.0494000204358,96435285.984,WINGS,2850.10005513
472,0.15,4730734.80515,Smartshare,0.00101957273312,4639918910.62,SSP,1530884.24298
473,0.03,4684010.46695,QunQun,0.00729764397689,641852422.753,QUN,703649.413357
474,-1.29,4642315.75112,EDC Blockchain,0.00523838067603,886211987.679,EDC,1111027.18516
475,-1.59,4633974.19838,TEMCO,0.00206418260648,2244943923.0,TEMCO,289202.384584
476,-1.51,4597204.02791,Apex,0.0100170911231,458936029.573,CPX,105570.869974
477,-1.82,4588786.91901,Hydro Protocol,0.00653673350287,702000000.0,HOT,28892.7046587
478,-0.85,4522648.04542,ONOToken,0.000280925742349,16099087280.5,ONOT,52099.7006822
479,-2.67,4468614.07363,KickCoin,0.00507699693201,880168755.954,KICK,532581.562752
480,-0.11,4460292.46047,MARK.SPACE,0.00584071084149,763655757.238,MRK,130274.99362
481,-0.50,4454442.61517,XMax,0.000406953948292,10945814959.8,XMX,322176.664971
482,0.06,4412067.15319,Peerplays,0.980123739706,4501540.95289,PPY,267222.603297
483,-0.54,4406246.28278,Cashaa,0.00599199626722,735355311.7,CAS,129312.035437
484,1.47,4404992.10369,carVertical,0.000570702977333,7718537100.11,CV,19890.418234
485,-0.46,4305338.24241,Distributed C...,0.00142682116153,3017433690.0,DCC,12039.9580185
486,-1.71,4291766.94131,Zeepin,0.00858353388263,500000000.0,ZPT,382631.434053
487,0.00,4286522.14782,VeriCoin,0.1355115381,31632156.2571,VRC,116781.551263
488,-0.01,4268043.69556,HiCoin,0.000962441026001,4434602827.87,XHI,2291.12125527
489,-0.94,4248697.24883,Delphy,0.0780657841291,54424576.6084,DPY,1070307.50768
490,-0.45,4245867.40379,Global Social...,0.00789042357599,538103862.6,GSC,181905.881005
491,-0.64,4236140.8131,Global Curren...,0.0400679395561,105723949.373,GCR,1760.63895817
492,-6.71,4231523.37272,Darico Ecosys...,0.0820956707147,51543806.5842,DEC,3658.85319216
493,0.02,4196576.93841,MassGrid,0.0578877340034,72495097.8071,MGD,1930.06823416
494,1.64,4190323.11898,Travala.com,0.106682487654,39278453.3913,AVA,12699.3071932
495,-2.02,4177557.16589,TE-FOOD,0.00816750090578,511485363.036,TFD,5149.20565868
496,0.27,4175526.38564,HTMLCOIN,7.8683555578e-05,53067332239.5,HTML,21582.1552141
497,-0.18,4156952.39344,Cajutel,9.73605966252,426964.55625,CAJ,12645.4855325
498,-0.17,4145232.68329,BABB,0.000197392032547,20999999999.0,BAX,7642.8601136
499,2.61,4139192.15776,Plus-Coin,0.00753803835352,549107335.839,NPLC,1465.66852761
500,-0.03,4132984.50122,NewYorkCoin,3.08375092919e-05,1.3402458876e+11,NYC,1238.68334853
501,0.22,4123950.53126,Digix Gold Token,41.4831923199,99412.5644781,DGX,28868.0999572
502,1.22,4123202.20157,MIR COIN,0.00664988107219,620041495.0,MIR,21575.3207388
503,-0.08,4116811.59757,CommerceBlock,0.0236916044861,173766686.0,CBT,3214.75043774
504,0.46,4114553.34112,Remme,0.00669778630649,614315410.023,REM,286240.451583
505,-2.06,4111027.51882,DeepOnion,0.255071992054,16117126.3286,ONION,3957.02390281
506,-0.06,4102114.72918,Nexty,2.710897009e-05,1.51319460516e+11,NTY,6356.25103209
507,1.47,4097649.45818,Observer,0.00306039387313,1338928787.62,OBSR,736577.568528
508,-0.80,4061195.7523,Phantasma,0.0696209692486,58332939.0,SOUL,721068.712516
509,0.34,3995329.85505,Omnitude,0.061643671478,64813301.3374,ECOM,16953.3035061
510,0.62,3952510.3742,Crown,0.179977485858,21961137.8354,CRW,101724.29121
511,2.88,3948029.3257,Zebi,0.00789605865141,500000000.0,ZCO,620117.2145
512,-1.08,3947983.45798,COVA,0.00235429531332,1676927883.96,COVA,2666895.97531
